taxi_id,trajectory_id,timestamp,source_point,target_point,date_depart
20000619,1388534459620000619,2014-01-01 00:00:59,POINT(-8.579448 41.145831),POINT(-8.577558 41.165253),2014-01-01 00:00:59
20000140,1388534642620000140,2014-01-01 00:04:02,POINT(-8.613936 41.141196),POINT(-8.61156 41.144778),2014-01-01 00:04:02
20000483,1388534413620000483,2014-01-01 00:00:13,POINT(-8.6418 41.141394),POINT(-8.641791 41.141349),2014-01-01 00:00:13
20000621,1388534531620000621,2014-01-01 00:02:11,POINT(-8.604171 41.161095),POINT(-8.610084 41.153319),2014-01-01 00:02:11
20000327,1388535097620000327,2014-01-01 00:11:37,POINT(-8.614188 41.141088),POINT(-8.610669 41.145381),2014-01-01 00:11:37
20000901,1388534756620000901,2014-01-01 00:05:56,POINT(-8.605422 41.173056),POINT(-8.597412 41.187843),2014-01-01 00:05:56
20000632,1388535053620000632,2014-01-01 00:10:53,POINT(-8.613684 41.141358),POINT(-8.610651 41.145588),2014-01-01 00:10:53
20000304,1388534719620000304,2014-01-01 00:05:19,POINT(-8.624853 41.157018),POINT(-8.615286 41.141511),2014-01-01 00:05:19
20000619,1388534782620000619,2014-01-01 00:06:22,POINT(-8.580087 41.159376),POINT(-8.598267 41.165172),2014-01-01 00:06:22
20000054,1388534695620000054,2014-01-01 00:04:55,POINT(-8.613171 41.173821),POINT(-8.657325 41.162274),2014-01-01 00:04:55
20000658,1388535129620000658,2014-01-01 00:12:09,POINT(-8.579988 41.159421),POINT(-8.605836 41.149791),2014-01-01 00:12:09
20000004,1388534771620000004,2014-01-01 00:06:11,POINT(-8.614035 41.141376),POINT(-8.607465 41.145489),2014-01-01 00:06:11
20000280,1388535140620000280,2014-01-01 00:12:20,POINT(-8.612145 41.17275),POINT(-8.610057 41.153463),2014-01-01 00:12:20
20000640,1388534421620000640,2014-01-01 00:00:21,POINT(-8.609004 41.163021),POINT(-8.612325 41.151024),2014-01-01 00:00:21
20000430,1388535490620000430,2014-01-01 00:18:10,POINT(-8.614755 41.141034),POINT(-8.610885 41.145642),2014-01-01 00:18:10
20000261,1388534971620000261,2014-01-01 00:09:31,POINT(-8.638344 41.161545),POINT(-8.598744 41.148756),2014-01-01 00:09:31
20000483,1388534793620000483,2014-01-01 00:06:33,POINT(-8.63919 41.145372),POINT(-8.612262 41.166405),2014-01-01 00:06:33
20000570,1388535144620000570,2014-01-01 00:12:24,POINT(-8.655174 41.154597),POINT(-8.610057 41.14089),2014-01-01 00:12:24
20000101,1388535086620000101,2014-01-01 00:11:26,POINT(-8.630703 41.155074),POINT(-8.615043 41.141277),2014-01-01 00:11:26
20000610,1388534766620000610,2014-01-01 00:06:06,POINT(-8.649414 41.154381),POINT(-8.617689 41.151636),2014-01-01 00:06:06
20000256,1388534952620000256,2014-01-01 00:09:12,POINT(-8.614089 41.141115),POINT(-8.613765 41.180157),2014-01-01 00:09:12
20000574,1388534740620000574,2014-01-01 00:05:40,POINT(-8.649315 41.154327),POINT(-8.614404 41.141898),2014-01-01 00:05:40
20000367,1388535571620000367,2014-01-01 00:19:31,POINT(-8.60274 41.161671),POINT(-8.609742 41.150943),2014-01-01 00:19:31
20000600,1388534884620000600,2014-01-01 00:08:04,POINT(-8.624205 41.177259),POINT(-8.64855 41.169231),2014-01-01 00:08:04
20000080,1388535979620000080,2014-01-01 00:26:19,POINT(-8.627994 41.157558),POINT(-8.627895 41.158098),2014-01-01 00:26:19
20000057,1388534948620000057,2014-01-01 00:09:08,POINT(-8.610885 41.144904),POINT(-8.593866 41.146461),2014-01-01 00:09:08
20000304,1388535372620000304,2014-01-01 00:16:12,POINT(-8.61381 41.14134),POINT(-8.610831 41.145579),2014-01-01 00:16:12
20000067,1388535574620000067,2014-01-01 00:19:34,POINT(-8.613963 41.177934),POINT(-8.577378 41.165271),2014-01-01 00:19:34
20000345,1388535559620000345,2014-01-01 00:19:19,POINT(-8.574705 41.14269),POINT(-8.613936 41.141268),2014-01-01 00:19:19
20000196,1388535627620000196,2014-01-01 00:20:27,POINT(-8.585217 41.177007),POINT(-8.58492 41.177556),2014-01-01 00:20:27
20000520,1388535278620000520,2014-01-01 00:14:38,POINT(-8.56854 41.151681),POINT(-8.595081 41.146227),2014-01-01 00:14:38
20000692,1388535020620000692,2014-01-01 00:10:20,POINT(-8.619732 41.147973),POINT(-8.608896 41.123565),2014-01-01 00:10:20
20000308,1388535525620000308,2014-01-01 00:18:45,POINT(-8.607222 41.151276),POINT(-8.584479 41.178231),2014-01-01 00:18:45
20000446,1388535581620000446,2014-01-01 00:19:41,POINT(-8.571105 41.141907),POINT(-8.598591 41.149899),2014-01-01 00:19:41
20000268,1388535262620000268,2014-01-01 00:14:22,POINT(-8.626113 41.144751),POINT(-8.615475 41.140701),2014-01-01 00:14:22
20000199,1388535176620000199,2014-01-01 00:12:56,POINT(-8.610759 41.145615),POINT(-8.649657 41.154318),2014-01-01 00:12:56
20000621,1388535203620000621,2014-01-01 00:13:23,POINT(-8.598195 41.165235),POINT(-8.615142 41.141448),2014-01-01 00:13:23
20000688,1388535732620000688,2014-01-01 00:22:12,POINT(-8.604405 41.160942),POINT(-8.602497 41.155731),2014-01-01 00:22:12
20000081,1388534864620000081,2014-01-01 00:07:44,POINT(-8.606439 41.147901),POINT(-8.60238 41.153472),2014-01-01 00:07:44
20000058,1388536154620000058,2014-01-01 00:29:14,POINT(-8.628183 41.157414),POINT(-8.617626 41.151537),2014-01-01 00:29:14
20000436,1388534772620000436,2014-01-01 00:06:12,POINT(-8.649207 41.154327),POINT(-8.615403 41.145678),2014-01-01 00:06:12
20000513,1388534768620000513,2014-01-01 00:06:08,POINT(-8.591274 41.162706),POINT(-8.609697 41.150673),2014-01-01 00:06:08
20000481,1388534880620000481,2014-01-01 00:08:00,POINT(-8.585271 41.176845),POINT(-8.621199 41.143401),2014-01-01 00:08:00
20000341,1388534863620000341,2014-01-01 00:07:43,POINT(-8.585406 41.176872),POINT(-8.681382 41.15655),2014-01-01 00:07:43
20000618,1388535666620000618,2014-01-01 00:21:06,POINT(-8.619876 41.147982),POINT(-8.657604 41.162814),2014-01-01 00:21:06
20000167,1388534611620000167,2014-01-01 00:03:31,POINT(-8.601354 41.183154),POINT(-8.666721 41.173092),2014-01-01 00:03:31
20000440,1388535636620000440,2014-01-01 00:20:36,POINT(-8.637147 41.174451),POINT(-8.622945 41.164173),2014-01-01 00:20:36
20000068,1388535385620000068,2014-01-01 00:16:25,POINT(-8.608635 41.147748),POINT(-8.641053 41.161203),2014-01-01 00:16:25
20000453,1388534994620000453,2014-01-01 00:09:54,POINT(-8.59905 41.182452),POINT(-8.681679 41.156811),2014-01-01 00:09:54
20000031,1388535840620000031,2014-01-01 00:24:00,POINT(-8.62101 41.160978),POINT(-8.639784 41.153373),2014-01-01 00:24:00
20000057,1388536008620000057,2014-01-01 00:26:48,POINT(-8.605575 41.173776),POINT(-8.583597 41.181138),2014-01-01 00:26:48
20000667,1388534923620000667,2014-01-01 00:08:43,POINT(-8.582814 41.16339),POINT(-8.533746 41.20704),2014-01-01 00:08:43
20000473,1388535097620000473,2014-01-01 00:11:37,POINT(-8.628282 41.158665),POINT(-8.628102 41.157405),2014-01-01 00:11:37
20000173,1388534446620000173,2014-01-01 00:00:46,POINT(-8.609427 41.15115),POINT(-8.566911 41.171796),2014-01-01 00:00:46
20000261,1388535837620000261,2014-01-01 00:23:57,POINT(-8.574678 41.14269),POINT(-8.61291 41.140422),2014-01-01 00:23:57
20000101,1388535891620000101,2014-01-01 00:24:51,POINT(-8.614359 41.14107),POINT(-8.618346 41.130315),2014-01-01 00:24:51
20000254,1388535516620000254,2014-01-01 00:18:36,POINT(-8.608941 41.147802),POINT(-8.601399 41.125599),2014-01-01 00:18:36
20000303,1388536251620000303,2014-01-01 00:30:51,POINT(-8.628165 41.157306),POINT(-8.616879 41.144841),2014-01-01 00:30:51
20000616,1388535879620000616,2014-01-01 00:24:39,POINT(-8.609427 41.15124),POINT(-8.638587 41.159592),2014-01-01 00:24:39
